订单号,交易流水号,刷卡时间,交易金额(元),线路号,车辆编号,票价(元)
U17A01235201802261845418922,184542211454,2018/2/26 18:45:41,1.00,37,2301,1.00
U17B00639201802261845428232,184542207557,2018/2/26 18:45:42,2.00,44,2111,2.00
U17B00694201802261845440020,184542212015,2018/2/26 18:45:44,1.00,4,1609,2.00
U17B00094201802261845415582,184543210666,2018/2/26 18:45:41,1.00,7,1359,1.00
U17900065201802261845437496,184544210082,2018/2/26 18:45:43,2.00,39,1458,2.00
U17900078201802261845437176,184544206388,2018/2/26 18:45:43,2.00,39,1457,2.00
U17B00608201802261845457360,184544212209,2018/2/26 18:45:45,2.00,8,2050,2.00
U17B00639201802261845457708,184545206773,2018/2/26 18:45:45,2.00,44,2111,2.00
U17B00060201802261845472830,184546207939,2018/2/26 18:45:47,2.00,801,2031,2.00
U17B00275201802261845452762,184546207351,2018/2/26 18:45:45,2.00,807,2432,2.00
U17B00823201802261845460147,184547206389,2018/2/26 18:45:46,1.00,39,1435,2.00
U17B00314201802261845466458,184547210667,2018/2/26 18:45:46,2.00,51,2139,2.00
U17B00445201802261845492704,184549209302,2018/2/26 18:45:49,1.00,46,2283,1.00
U17B00723201802261845493360,184550209697,2018/2/26 18:45:49,2.00,69,2440,2.00
U17900640201802261845492748,184550212016,2018/2/26 18:45:49,2.00,10,1417,2.00
U17A01243201802261845509686,184550210278,2018/2/26 18:45:50,2.00,6,1478,2.00
U17B00800201802261845516931,184551210279,2018/2/26 18:45:51,1.00,12,1107,1.00
U17900658201802261845509580,184551211062,2018/2/26 18:45:50,2.00,2,2008,2.00
U17B00349201802261845506392,184551206774,2018/2/26 18:45:50,2.00,40,1635,2.00
U17700461201802261845502172,184553211625,2018/2/26 18:45:50,1.00,43,1910,1.00
U17B00088201802261845463366,184552211819,2018/2/26 18:45:46,1.00,74,1499,1.00
U17B00705201802261845480002,184550210861,2018/2/26 18:45:48,1.00,74,1602,2.00
U17B00060201802261845551410,184553210669,2018/2/26 18:45:55,2.00,801,2031,2.00
U17B00244201802261845541110,184553211456,2018/2/26 18:45:54,2.00,4,1618,2.00
